Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/190 [00:00<?, ?it/s]
Loading weights:  27%|██▋       | 52/190 [00:00<00:00, 518.34it/s]
Loading weights: 100%|██████████| 190/190 [00:00<00:00, 1833.79it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!

Loading weights:   0%|          | 0/559 [00:00<?, ?it/s]
Loading weights:   7%|▋         | 41/559 [00:00<00:01, 394.11it/s]
Loading weights:  15%|█▍        | 82/559 [00:00<00:01, 391.21it/s]
Loading weights:  22%|██▏       | 124/559 [00:00<00:01, 399.89it/s]
Loading weights:  30%|██▉       | 166/559 [00:00<00:00, 396.49it/s]
Loading weights:  37%|███▋      | 206/559 [00:00<00:00, 396.66it/s]
Loading weights:  44%|████▍     | 247/559 [00:00<00:00, 389.57it/s]
Loading weights:  52%|█████▏    | 288/559 [00:00<00:00, 392.22it/s]
Loading weights:  59%|█████▊    | 328/559 [00:00<00:00, 386.87it/s]
Loading weights:  66%|██████▌   | 367/559 [00:00<00:00, 355.88it/s]
Loading weights:  72%|███████▏  | 404/559 [00:01<00:00, 343.15it/s]
Loading weights:  79%|███████▊  | 439/559 [00:01<00:00, 333.37it/s]
Loading weights:  85%|████████▍ | 473/559 [00:01<00:00, 328.61it/s]
Loading weights:  91%|█████████ | 508/559 [00:01<00:00, 324.17it/s]
Loading weights:  97%|█████████▋| 541/559 [00:01<00:00, 323.57it/s]
Loading weights: 100%|██████████| 559/559 [00:01<00:00, 349.53it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.

[GKD setup]
student         : google/flan-t5-small
teacher         : google/flan-t5-xxl
device          : cuda
divergence      : jsd
beta            : 0.50
lambda          : 0.50
updates         : 1000
micro batch     : 1
grad accum      : 16
effective batch : 16
save dir        : /home/ubuntu/t5_gsm8k/t5_small_gsm8k_gkd_true_laptop


train:   0%|          | 0/1000 [00:00<?, ?it/s]
train:   0%|          | 0/1000 [00:05<?, ?it/s, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
train:   0%|          | 1/1000 [00:05<1:36:07,  5.77s/it, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
                                                                                                              
train:   0%|          | 1/1000 [00:05<1:36:07,  5.77s/it, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
train:   0%|          | 1/1000 [00:07<1:36:07,  5.77s/it, loss=0.2558, lr=7.50e-06, sup=14, onp=2, gpu=22.24G]
train:   0%|          | 2/1000 [00:07<1:05:45,  3.95s/it, loss=0.2558, lr=7.50e-06, sup=14, onp=2, gpu=22.24G]
train:   0%|          | 2/1000 [00:11<1:05:45,  3.95s/it, loss=0.2628, lr=1.12e-05, sup=8, onp=8, gpu=22.29G] 
train:   0%|          | 3/1000 [00:11<1:04:53,  3.91s/it, loss=0.2628, lr=1.12e-05, sup=8, onp=8, gpu=22.29G]
train:   0%|          | 3/1000 [00:16<1:04:53,  3.91s/it, loss=0.2478, lr=1.50e-05, sup=8, onp=8, gpu=22.29G]
train:   0%|          | 4/1000 [00:16<1:09:49,  4.21s/it, loss=0.2478, lr=1.50e-05, sup=8, onp=8, gpu=22.29G]
train:   0%|          | 4/1000 [00:20<1:09:49,  4.21s/it, loss=0.2412, lr=1.87e-05, sup=11, onp=5, gpu=22.29G]
train:   0%|          | 5/1000 [00:20<1:09:02,  4.16s/it, loss=0.2412, lr=1.87e-05, sup=11, onp=5, gpu=22.29G]
train:   0%|          | 5/1000 [00:26<1:09:02,  4.16s/it, loss=0.2311, lr=2.25e-05, sup=7, onp=9, gpu=22.29G] 
train:   1%|          | 6/1000 [00:26<1:13:35,  4.44s/it, loss=0.2311, lr=2.25e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 6/1000 [00:31<1:13:35,  4.44s/it, loss=0.2210, lr=2.62e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 7/1000 [00:31<1:15:28,  4.56s/it, loss=0.2210, lr=2.62e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 7/1000 [00:35<1:15:28,  4.56s/it, loss=0.2489, lr=3.00e-05, sup=11, onp=5, gpu=22.29G]
train:   1%|          | 8/1000 [00:35<1:12:39,  4.40s/it, loss=0.2489, lr=3.00e-05, sup=11, onp=5, gpu=22.29G]
train:   1%|          | 8/1000 [00:40<1:12:39,  4.40s/it, loss=0.2017, lr=3.38e-05, sup=6, onp=10, gpu=22.29G]
train:   1%|          | 9/1000 [00:40<1:14:29,  4.51s/it, loss=0.2017, lr=3.38e-05, sup=6, onp=10, gpu=22.29G]
train:   3%|▎         | 26/1000 [02:36<1:44:44,  6.45s/it, loss=0.2034, lr=9.75e-05, sup=8, onp=8, gpu=22.29G]
train:   3%|▎         | 26/1000 [02:42<1:44:44,  6.45s/it, loss=0.2077, lr=1.01e-04, sup=9, onp=7, gpu=22.29G]
train:   3%|▎         | 27/1000 [02:42<1:44:12,  6.43s/it, loss=0.2077, lr=1.01e-04, sup=9, onp=7, gpu=22.29G]
train:   3%|▎         | 27/1000 [02:48<1:44:12,  6.43s/it, loss=0.1975, lr=1.05e-04, sup=6, onp=10, gpu=22.29G]
train:   3%|▎         | 28/1000 [02:48<1:44:05,  6.42s/it, loss=0.1975, lr=1.05e-04, sup=6, onp=10, gpu=22.29G]
train:   3%|▎         | 28/1000 [02:53<1:44:05,  6.42s/it, loss=0.1994, lr=1.09e-04, sup=10, onp=6, gpu=22.30G]
train:   3%|▎         | 29/1000 [02:53<1:42:40,  6.34s/it, loss=0.1994, lr=1.09e-04, sup=10, onp=6, gpu=22.30G]
train:   3%|▎         | 29/1000 [03:00<1:42:40,  6.34s/it, loss=0.1841, lr=1.12e-04, sup=8, onp=8, gpu=22.30G] 
train:   3%|▎         | 30/1000 [03:00<1:43:09,  6.38s/it, loss=0.1841, lr=1.12e-04, sup=8, onp=8, gpu=22.30G]
train:   3%|▎         | 30/1000 [03:03<1:43:09,  6.38s/it, loss=0.2268, lr=1.16e-04, sup=13, onp=3, gpu=22.30G]
train:   3%|▎         | 31/1000 [03:03<1:39:36,  6.17s/it, loss=0.2268, lr=1.16e-04, sup=13, onp=3, gpu=22.30G]
train:   3%|▎         | 31/1000 [03:08<1:39:36,  6.17s/it, loss=0.1967, lr=1.20e-04, sup=9, onp=7, gpu=22.30G] 
train:   3%|▎         | 32/1000 [03:08<1:38:16,  6.09s/it, loss=0.1967, lr=1.20e-04, sup=9, onp=7, gpu=22.30G]
train:   3%|▎         | 32/1000 [03:17<1:38:16,  6.09s/it, loss=0.1837, lr=1.24e-04, sup=4, onp=12, gpu=22.39G]
train:   3%|▎         | 33/1000 [03:17<1:40:30,  6.24s/it, loss=0.1837, lr=1.24e-04, sup=4, onp=12, gpu=22.39G]
train:   3%|▎         | 33/1000 [03:23<1:40:30,  6.24s/it, loss=0.1916, lr=1.27e-04, sup=9, onp=7, gpu=22.39G] 
train:   3%|▎         | 34/1000 [03:23<1:40:34,  6.25s/it, loss=0.1916, lr=1.27e-04, sup=9, onp=7, gpu=22.39G]
train:   3%|▎         | 34/1000 [03:28<1:40:34,  6.25s/it, loss=0.1931, lr=1.31e-04, sup=8, onp=8, gpu=22.39G]
train:   4%|▎         | 35/1000 [03:28<1:39:43,  6.20s/it, loss=0.1931, lr=1.31e-04, sup=8, onp=8, gpu=22.39G]
train:   4%|▎         | 35/1000 [03:34<1:39:43,  6.20s/it, loss=0.1992, lr=1.35e-04, sup=9, onp=7, gpu=22.39G]
train:   4%|▎         | 36/1000 [03:34<1:38:46,  6.15s/it, loss=0.1992, lr=1.35e-04, sup=9, onp=7, gpu=22.39G]
train:   4%|▎         | 36/1000 [03:38<1:38:46,  6.15s/it, loss=0.2113, lr=1.39e-04, sup=10, onp=6, gpu=22.39G]
train:   4%|▎         | 37/1000 [03:38<1:36:56,  6.04s/it, loss=0.2113, lr=1.39e-04, sup=10, onp=6, gpu=22.39G]
train:   4%|▎         | 37/1000 [03:44<1:36:56,  6.04s/it, loss=0.1981, lr=1.42e-04, sup=10, onp=6, gpu=22.39G]
train:   4%|▍         | 38/1000 [03:44<1:37:03,  6.05s/it, loss=0.1981, lr=1.42e-04, sup=10, onp=6, gpu=22.39G]
train:   4%|▍         | 38/1000 [03:51<1:37:03,  6.05s/it, loss=0.1955, lr=1.46e-04, sup=8, onp=8, gpu=22.39G] 
train:   4%|▍         | 39/1000 [03:51<1:37:16,  6.07s/it, loss=0.1955, lr=1.46e-04, sup=8, onp=8, gpu=22.39G]
train:   4%|▍         | 39/1000 [03:58<1:37:16,  6.07s/it, loss=0.1845, lr=1.50e-04, sup=7, onp=9, gpu=22.39G]
train:   4%|▍         | 40/1000 [03:58<1:38:04,  6.13s/it, loss=0.1845, lr=1.50e-04, sup=7, onp=9, gpu=22.39G]
train:   4%|▍         | 40/1000 [04:03<1:38:04,  6.13s/it, loss=0.1903, lr=1.54e-04, sup=9, onp=7, gpu=22.39G]
train:   4%|▍         | 41/1000 [04:03<1:36:58,  6.07s/it, loss=0.1903, lr=1.54e-04, sup=9, onp=7, gpu=22.39G]
train:   4%|▍         | 41/1000 [04:11<1:36:58,  6.07s/it, loss=0.1870, lr=1.57e-04, sup=6, onp=10, gpu=22.39G]
train:   4%|▍         | 42/1000 [04:11<1:38:59,  6.20s/it, loss=0.1870, lr=1.57e-04, sup=6, onp=10, gpu=22.39G]
train:   4%|▍         | 42/1000 [04:16<1:38:59,  6.20s/it, loss=0.1803, lr=1.61e-04, sup=8, onp=8, gpu=22.39G] 
train:   4%|▍         | 43/1000 [04:16<1:37:53,  6.14s/it, loss=0.1803, lr=1.61e-04, sup=8, onp=8, gpu=22.39G]
train:   4%|▍         | 43/1000 [04:24<1:37:53,  6.14s/it, loss=0.1781, lr=1.65e-04, sup=7, onp=9, gpu=22.39G]
train:   4%|▍         | 44/1000 [04:24<1:39:01,  6.21s/it, loss=0.1781, lr=1.65e-04, sup=7, onp=9, gpu=22.39G]
train:   4%|▍         | 44/1000 [04:29<1:39:01,  6.21s/it, loss=0.1870, lr=1.69e-04, sup=7, onp=9, gpu=22.39G]
train:   4%|▍         | 45/1000 [04:29<1:38:09,  6.17s/it, loss=0.1870, lr=1.69e-04, sup=7, onp=9, gpu=22.39G]
train:   4%|▍         | 45/1000 [04:35<1:38:09,  6.17s/it, loss=0.1827, lr=1.72e-04, sup=6, onp=10, gpu=22.39G]
train:   5%|▍         | 46/1000 [04:35<1:37:25,  6.13s/it, loss=0.1827, lr=1.72e-04, sup=6, onp=10, gpu=22.39G]
train:   5%|▍         | 46/1000 [04:40<1:37:25,  6.13s/it, loss=0.1922, lr=1.76e-04, sup=11, onp=5, gpu=22.39G]
train:   5%|▍         | 47/1000 [04:40<1:36:35,  6.08s/it, loss=0.1922, lr=1.76e-04, sup=11, onp=5, gpu=22.39G]
train:   5%|▍         | 47/1000 [04:46<1:36:35,  6.08s/it, loss=0.1762, lr=1.80e-04, sup=8, onp=8, gpu=22.39G] 
train:   5%|▍         | 48/1000 [04:46<1:36:07,  6.06s/it, loss=0.1762, lr=1.80e-04, sup=8, onp=8, gpu=22.39G]
train:   5%|▍         | 48/1000 [04:55<1:36:07,  6.06s/it, loss=0.1612, lr=1.84e-04, sup=4, onp=12, gpu=22.39G]
train:   5%|▍         | 49/1000 [04:55<1:38:48,  6.23s/it, loss=0.1612, lr=1.84e-04, sup=4, onp=12, gpu=22.39G]
train:   5%|▍         | 49/1000 [05:00<1:38:48,  6.23s/it, loss=0.1892, lr=1.87e-04, sup=9, onp=7, gpu=22.39G] 
train:   5%|▌         | 50/1000 [05:00<1:38:00,  6.19s/it, loss=0.1892, lr=1.87e-04, sup=9, onp=7, gpu=22.39G]
                                                                                                              

train:   5%|▌         | 50/1000 [05:00<1:38:00,  6.19s/it, loss=0.1892, lr=1.87e-04, sup=9, onp=7, gpu=22.39G]
train:   5%|▌         | 50/1000 [05:04<1:38:00,  6.19s/it, loss=0.2015, lr=1.91e-04, sup=12, onp=4, gpu=22.39G]
train:   5%|▌         | 51/1000 [05:04<1:36:04,  6.07s/it, loss=0.2015, lr=1.91e-04, sup=12, onp=4, gpu=22.39G]
train:   5%|▌         | 51/1000 [05:12<1:36:04,  6.07s/it, loss=0.1725, lr=1.95e-04, sup=6, onp=10, gpu=22.39G]
train:   5%|▌         | 52/1000 [05:12<1:37:43,  6.19s/it, loss=0.1725, lr=1.95e-04, sup=6, onp=10, gpu=22.39G]
train:   5%|▌         | 52/1000 [05:18<1:37:43,  6.19s/it, loss=0.1944, lr=1.99e-04, sup=9, onp=7, gpu=22.39G] 
train:   5%|▌         | 53/1000 [05:18<1:37:11,  6.16s/it, loss=0.1944, lr=1.99e-04, sup=9, onp=7, gpu=22.39G]
train:   5%|▌         | 53/1000 [05:24<1:37:11,  6.16s/it, loss=0.1836, lr=2.02e-04, sup=8, onp=8, gpu=22.39G]
train:   5%|▌         | 54/1000 [05:24<1:36:36,  6.13s/it, loss=0.1836, lr=2.02e-04, sup=8, onp=8, gpu=22.39G]
train:   5%|▌         | 54/1000 [05:29<1:36:36,  6.13s/it, loss=0.1926, lr=2.06e-04, sup=10, onp=6, gpu=22.39G]
train:   6%|▌         | 55/1000 [05:29<1:35:29,  6.06s/it, loss=0.1926, lr=2.06e-04, sup=10, onp=6, gpu=22.39G]
train:   6%|▌         | 55/1000 [05:36<1:35:29,  6.06s/it, loss=0.1653, lr=2.10e-04, sup=7, onp=9, gpu=22.39G] 
train:   6%|▌         | 56/1000 [05:36<1:36:07,  6.11s/it, loss=0.1653, lr=2.10e-04, sup=7, onp=9, gpu=22.39G]
train:   6%|▌         | 56/1000 [05:41<1:36:07,  6.11s/it, loss=0.1902, lr=2.14e-04, sup=9, onp=7, gpu=22.39G]
train:   6%|▌         | 57/1000 [05:41<1:35:11,  6.06s/it, loss=0.1902, lr=2.14e-04, sup=9, onp=7, gpu=22.39G]
train:   6%|▌         | 57/1000 [05:46<1:35:11,  6.06s/it, loss=0.1864, lr=2.17e-04, sup=7, onp=9, gpu=22.39G]
train:   6%|▌         | 58/1000 [05:46<1:34:42,  6.03s/it, loss=0.1864, lr=2.17e-04, sup=7, onp=9, gpu=22.39G]
train:   6%|▌         | 58/1000 [05:51<1:34:42,  6.03s/it, loss=0.1887, lr=2.21e-04, sup=8, onp=8, gpu=22.39G]
train:   6%|▌         | 59/1000 [05:51<1:33:32,  5.96s/it, loss=0.1887, lr=2.21e-04, sup=8, onp=8, gpu=22.39G]
train:   6%|▌         | 59/1000 [05:58<1:33:32,  5.96s/it, loss=0.1771, lr=2.25e-04, sup=5, onp=11, gpu=22.39G]
train:   6%|▌         | 60/1000 [05:58<1:33:52,  5.99s/it, loss=0.1771, lr=2.25e-04, sup=5, onp=11, gpu=22.39G]
train:   6%|▌         | 60/1000 [06:05<1:33:52,  5.99s/it, loss=0.1610, lr=2.29e-04, sup=5, onp=11, gpu=22.47G]
train:   6%|▌         | 61/1000 [06:05<1:35:11,  6.08s/it, loss=0.1610, lr=2.29e-04, sup=5, onp=11, gpu=22.47G]
train:   6%|▌         | 61/1000 [06:09<1:35:11,  6.08s/it, loss=0.1920, lr=2.32e-04, sup=9, onp=7, gpu=22.47G] 
train:   6%|▌         | 62/1000 [06:09<1:33:23,  5.97s/it, loss=0.1920, lr=2.32e-04, sup=9, onp=7, gpu=22.47G]
train:   6%|▌         | 62/1000 [06:14<1:33:23,  5.97s/it, loss=0.1881, lr=2.36e-04, sup=8, onp=8, gpu=22.47G]
train:   6%|▋         | 63/1000 [06:14<1:32:14,  5.91s/it, loss=0.1881, lr=2.36e-04, sup=8, onp=8, gpu=22.47G]
train:   6%|▋         | 63/1000 [06:17<1:32:14,  5.91s/it, loss=0.1941, lr=2.40e-04, sup=13, onp=3, gpu=22.47G]
train:   6%|▋         | 64/1000 [06:17<1:29:46,  5.76s/it, loss=0.1941, lr=2.40e-04, sup=13, onp=3, gpu=22.47G]
train:   6%|▋         | 64/1000 [06:21<1:29:46,  5.76s/it, loss=0.1914, lr=2.44e-04, sup=9, onp=7, gpu=22.47G] 
train:   6%|▋         | 65/1000 [06:21<1:28:39,  5.69s/it, loss=0.1914, lr=2.44e-04, sup=9, onp=7, gpu=22.47G]
train:   6%|▋         | 65/1000 [06:27<1:28:39,  5.69s/it, loss=0.1764, lr=2.47e-04, sup=5, onp=11, gpu=22.47G]
train:   7%|▋         | 66/1000 [06:27<1:28:08,  5.66s/it, loss=0.1764, lr=2.47e-04, sup=5, onp=11, gpu=22.47G]
train:   7%|▋         | 66/1000 [06:31<1:28:08,  5.66s/it, loss=0.1686, lr=2.51e-04, sup=9, onp=7, gpu=22.47G] 
train:   7%|▋         | 67/1000 [06:31<1:27:16,  5.61s/it, loss=0.1686, lr=2.51e-04, sup=9, onp=7, gpu=22.47G]
train:   7%|▋         | 67/1000 [06:37<1:27:16,  5.61s/it, loss=0.1802, lr=2.55e-04, sup=11, onp=5, gpu=22.47G]
train:   7%|▋         | 68/1000 [06:37<1:27:14,  5.62s/it, loss=0.1802, lr=2.55e-04, sup=11, onp=5, gpu=22.47G]
train:   7%|▋         | 68/1000 [06:40<1:27:14,  5.62s/it, loss=0.1933, lr=2.59e-04, sup=8, onp=8, gpu=22.48G] 
train:   7%|▋         | 69/1000 [06:40<1:25:26,  5.51s/it, loss=0.1933, lr=2.59e-04, sup=8, onp=8, gpu=22.48G]
train:   7%|▋         | 69/1000 [06:46<1:25:26,  5.51s/it, loss=0.1799, lr=2.62e-04, sup=7, onp=9, gpu=22.48G]
